symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,cost_model_status,adx_entry,atr_entry,ema_distance,trend_gap,session,year
USDJPY,1,2021-02-09 16:00:00,2021-02-11 08:00:00,104.62,104.663,104.3236,105.21281,0.3426,4.3,13.41,22.07,10,time_exit,OK,42.62342,0.1976,-1.63921,3.35214,new_york,2021
USDJPY,1,2021-02-11 08:00:00,2021-02-12 08:00:00,104.593,105.13756,104.32072,105.13756,0.3739,54.5,185.29,185.62,6,take_profit,OK,28.79201,0.18152,-1.33548,2.87667,tokyo,2021
USDJPY,1,2021-02-12 08:00:00,2021-02-15 08:00:00,104.87,105.36469,104.62266,105.36469,0.4198,49.5,188.98,196.19,6,take_profit,OK,22.41493,0.1649,0.30453,2.91017,tokyo,2021
USDJPY,1,2021-02-19 16:00:00,2021-02-22 16:00:00,105.427,105.09909,105.09909,106.08283,0.3232,-32.8,-96.44,-90.9,6,stop_loss,OK,33.80119,0.21861,0.17943,3.26367,new_york,2021
USDJPY,1,2021-02-23 00:00:00,2021-02-24 08:00:00,105.063,105.75863,104.71519,105.75863,0.3019,69.6,191.11,191.38,8,take_profit,OK,24.35669,0.23188,-1.35055,2.83826,tokyo,2021
USDJPY,1,2021-03-23 20:00:00,2021-03-25 12:00:00,108.686,109.119,108.34309,109.37181,0.3123,43.3,123.06,130.96,10,time_exit,OK,21.8647,0.2286,-0.31862,6.6035,new_york,2021
USDJPY,1,2021-04-06 00:00:00,2021-04-06 16:00:00,110.172,109.84743,109.84743,110.82113,0.3344,-32.5,-98.77,-101.18,4,stop_loss,OK,31.87833,0.21638,0.36009,7.759,tokyo,2021
USDJPY,1,2021-04-07 04:00:00,2021-04-08 12:00:00,109.776,109.40235,109.40235,110.5233,0.2875,-37.4,-97.76,-92.82,8,stop_loss,OK,30.26823,0.2491,-1.22304,6.21839,tokyo,2021
USDJPY,1,2021-04-08 20:00:00,2021-04-12 12:00:00,109.247,109.33,108.85286,110.03527,0.27,8.3,20.39,27.22,10,time_exit,OK,38.3907,0.26276,-2.56773,4.89707,new_york,2021
USDJPY,1,2021-04-12 20:00:00,2021-04-13 20:00:00,109.406,109.01984,109.01984,110.17832,0.2763,-38.6,-97.09,-96.84,6,stop_loss,OK,30.30998,0.25744,-1.40947,4.01591,new_york,2021
USDJPY,1,2021-04-14 08:00:00,2021-04-16 00:00:00,108.952,108.763,108.56598,109.72404,0.2736,-18.9,-47.06,-40.14,10,time_exit,OK,29.0747,0.25735,-2.53638,3.2094,tokyo,2021
