symbol,direction,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,cost_model_status,adx_entry,atr_entry,ema_distance,trend_gap,session,year
GBPJPY,1,2022-09-14 20:00:00,2022-09-16 00:00:00,165.303,164.23981,164.23981,167.42938,0.0956,-106.3,-92.49,-87.88,7,stop_loss,OK,32.18649,0.70879,0.43391,2.18576,new_york,2022
GBPJPY,1,2022-09-16 08:00:00,2022-09-16 12:00:00,164.276,163.34166,163.34166,166.14468,0.1077,-93.4,-91.57,-91.61,1,stop_loss,OK,22.71867,0.62289,-1.05739,2.20015,london,2022
GBPJPY,1,2022-09-16 16:00:00,2022-09-20 08:00:00,163.048,164.229,162.0083,165.1274,0.0959,118.1,103.06,107.69,10,time_exit,OK,26.03838,0.69313,-2.51288,1.78071,new_york,2022
GBPJPY,1,2022-09-20 08:00:00,2022-09-21 08:00:00,163.76,162.8896,162.8896,165.50079,0.1159,-87.0,-91.8,-90.43,6,stop_loss,OK,28.63331,0.58026,-0.9874,1.3678,london,2022
GBPJPY,1,2022-09-21 08:00:00,2022-09-21 12:00:00,163.736,162.89076,162.89076,165.42647,0.1181,-84.5,-90.84,-90.88,1,stop_loss,OK,22.81935,0.56349,-0.83344,1.16116,london,2022
GBPJPY,1,2022-09-21 16:00:00,2022-09-21 20:00:00,163.323,162.36129,162.36129,165.24641,0.1028,-96.2,-89.97,-90.0,1,stop_loss,OK,24.7093,0.64114,-1.24857,0.90184,new_york,2022
GBPJPY,1,2022-09-21 20:00:00,2022-09-22 00:00:00,163.378,162.43859,162.43859,165.25681,0.1042,-93.9,-89.08,-85.31,1,stop_loss,OK,25.55428,0.62627,-1.14064,0.87932,new_york,2022
GBPJPY,1,2022-09-22 08:00:00,2022-09-22 12:00:00,162.806,161.6739,161.6739,165.0702,0.0856,-113.2,-88.19,-88.21,1,stop_loss,OK,29.63959,0.75473,-1.45514,0.52515,london,2022
GBPJPY,1,2022-09-22 20:00:00,2022-09-23 12:00:00,160.355,158.58742,158.58742,163.89015,0.0543,-176.8,-87.34,-86.7,4,stop_loss,OK,35.48794,1.17838,-2.66195,0.06773,new_york,2022
GBPJPY,1,2022-10-24 00:00:00,2022-10-25 16:00:00,168.244,169.792,166.47809,171.77583,0.0538,154.8,75.79,76.42,10,time_exit,OK,28.51818,1.17728,0.07569,2.44756,,2022
GBPJPY,1,2022-11-03 08:00:00,2022-11-03 12:00:00,168.126,167.07513,167.07513,170.22773,0.0912,-105.1,-87.21,-87.24,1,stop_loss,OK,20.96114,0.70058,-1.64692,4.52884,london,2022
GBPJPY,1,2022-11-03 20:00:00,2022-11-07 12:00:00,165.771,168.24621,164.53339,168.24621,0.0767,247.5,172.76,176.46,10,take_profit,OK,29.88192,0.82507,-3.81519,3.40561,new_york,2022
GBPJPY,1,2022-11-07 12:00:00,2022-11-09 04:00:00,167.845,168.153,166.56602,170.40296,0.0757,30.8,21.22,23.03,10,time_exit,OK,37.51817,0.85265,-0.28094,2.29091,london,2022
GBPJPY,1,2022-11-09 08:00:00,2022-11-09 12:00:00,168.154,166.98087,166.98087,170.50025,0.0827,-117.3,-88.29,-88.31,1,stop_loss,OK,20.45534,0.78208,0.00733,2.29297,london,2022
GBPJPY,1,2022-11-09 16:00:00,2022-11-10 16:00:00,167.067,165.81484,165.81484,169.57132,0.0767,-125.2,-87.4,-84.63,6,stop_loss,OK,21.03133,0.83477,-1.18618,2.02739,new_york,2022
GBPJPY,1,2022-11-10 16:00:00,2022-11-10 20:00:00,166.818,165.67918,165.67918,169.09563,0.0836,-113.9,-86.64,-86.66,1,stop_loss,OK,22.3662,0.75921,-1.20206,1.78621,new_york,2022
GBPJPY,1,2022-11-11 04:00:00,2022-11-11 12:00:00,165.848,164.46273,164.46273,168.61854,0.068,-138.5,-85.72,-85.74,2,stop_loss,OK,24.54505,0.92351,-1.76309,1.22088,,2022
