symbol,entry_dt,exit_dt,entry,exit,stop_loss,take_profit,size,pnl_pips,pnl_gross,pnl,bars_held,exit_reason,adx_entry,atr_entry,session,year,ema_distance,trend_gap
XAUUSD,2020-06-05 12:00:00,2020-06-05 16:00:00,1711.28,1696.51181,1696.51181,1740.81638,0.6574,-147.7,-97.09,-97.49,1,stop_loss,29.0,9.84546,london,2020,,
XAUUSD,2020-06-08 00:00:00,2020-06-09 16:00:00,1682.73,1718.8769,1666.96655,1718.8769,0.6097,361.5,220.39,219.99,10,take_profit,33.9,11.53563,,2020,,
XAUUSD,2020-08-12 04:00:00,2020-08-12 08:00:00,1923.76,1892.05405,1892.05405,1987.20191,0.3101,-317.1,-98.32,-98.72,1,stop_loss,34.0,21.14397,,2020,,
XAUUSD,2020-08-12 12:00:00,2020-08-14 04:00:00,1930.67,1952.94,1888.97504,2014.05991,0.2334,222.7,51.98,51.58,10,time_exit,37.6,27.79664,london,2020,,
XAUUSD,2020-08-14 04:00:00,2020-08-17 20:00:00,1956.57,1984.25,1918.74857,2032.21287,0.2587,276.8,71.61,71.21,10,time_exit,37.6,25.21429,,2020,,
XAUUSD,2020-08-20 04:00:00,2020-08-21 20:00:00,1942.81,1940.27,1909.90797,2008.61407,0.2995,-25.4,-7.61,-8.01,10,time_exit,24.0,21.93469,,2020,,
XAUUSD,2020-08-24 00:00:00,2020-08-25 16:00:00,1940.19,1916.16,1909.76752,2001.27497,0.3237,-240.3,-77.79,-78.19,10,time_exit,29.5,20.33499,,2020,,
XAUUSD,2020-08-25 16:00:00,2020-08-27 08:00:00,1926.09,1942.49,1901.78953,1974.78093,0.402,164.0,65.93,65.53,10,time_exit,27.5,16.22031,new_york,2020,,
XAUUSD,2020-08-28 00:00:00,2020-08-31 16:00:00,1929.19,1971.66,1901.46702,1984.15596,0.3548,424.7,150.68,150.28,10,time_exit,22.2,18.37532,,2020,,
XAUUSD,2020-09-03 00:00:00,2020-09-04 16:00:00,1942.91,1920.85356,1920.85356,1988.82287,0.4527,-220.6,-99.85,-100.25,10,stop_loss,23.0,15.10429,,2020,,
XAUUSD,2020-09-16 04:00:00,2020-09-17 04:00:00,1952.96,1938.03578,1938.03578,1982.80844,0.6623,-149.2,-98.84,-99.24,6,stop_loss,22.8,9.94948,,2020,,
XAUUSD,2020-09-17 12:00:00,2020-09-21 04:00:00,1944.92,1953.37,1927.92601,1978.90799,0.5758,84.5,48.66,48.26,10,time_exit,21.9,11.32933,london,2020,,
XAUUSD,2020-09-22 00:00:00,2020-09-23 04:00:00,1912.36,1892.0424,1892.0424,1953.11521,0.484,-203.2,-98.34,-98.74,7,stop_loss,24.7,13.57174,,2020,,
XAUUSD,2020-09-23 04:00:00,2020-09-23 08:00:00,1902.61,1882.81196,1882.81196,1942.20609,0.4917,-198.0,-97.35,-97.75,1,stop_loss,39.0,13.1987,,2020,,
XAUUSD,2020-11-10 04:00:00,2020-11-11 20:00:00,1874.35,1865.25,1846.6587,1929.7326,0.348,-91.0,-31.67,-32.07,10,time_exit,34.9,18.46087,,2020,,
XAUUSD,2020-12-23 04:00:00,2020-12-24 20:00:00,1866.02,1879.51,1848.40058,1901.31884,0.5452,134.9,73.55,73.15,10,time_exit,25.8,11.75961,,2020,,
XAUUSD,2021-01-08 00:00:00,2021-01-08 08:00:00,1915.21,1894.40787,1894.40787,1951.89425,0.4653,-208.0,-96.79,-97.19,2,stop_loss,29.5,12.77475,,2021,,
XAUUSD,2021-01-11 00:00:00,2021-01-12 16:00:00,1851.61,1839.55,1823.62502,1899.80996,0.3424,-120.6,-41.29,-41.69,10,time_exit,36.0,16.92999,,2021,,
XAUUSD,2021-01-13 00:00:00,2021-01-14 04:00:00,1854.98,1829.9884,1829.9884,1903.8532,0.3817,-249.9,-95.39,-95.79,7,stop_loss,43.0,16.4144,,2021,,
XAUUSD,2021-01-14 04:00:00,2021-01-15 16:00:00,1849.17,1828.22613,1828.22613,1891.05773,0.4509,-209.4,-94.44,-94.84,9,stop_loss,37.8,13.96258,,2021,,
XAUUSD,2021-04-28 20:00:00,2021-04-29 16:00:00,1774.68,1763.39419,1763.39419,1797.19162,0.8284,-112.9,-93.49,-93.89,5,stop_loss,23.9,7.51054,new_york,2021,,
XAUUSD,2021-04-30 00:00:00,2021-05-03 16:00:00,1772.42,1792.87,1758.63907,1798.60185,0.6716,204.5,137.34,136.94,10,time_exit,21.0,8.88062,,2021,,
XAUUSD,2021-05-05 00:00:00,2021-05-06 16:00:00,1778.19,1803.99041,1766.0698,1803.99041,0.7749,258.0,199.93,199.53,10,take_profit,20.1,8.4268,,2021,,
XAUUSD,2021-05-13 16:00:00,2021-05-17 00:00:00,1817.0,1847.01218,1802.02391,1847.01218,0.6405,300.1,192.23,191.83,8,take_profit,29.2,9.99739,new_york,2021,,
XAUUSD,2021-06-04 12:00:00,2021-06-04 16:00:00,1869.57,1895.71138,1856.49931,1895.71138,0.7485,261.4,195.67,195.27,1,take_profit,27.8,8.71379,london,2021,,
XAUUSD,2021-06-04 16:00:00,2021-06-08 08:00:00,1884.66,1892.59,1870.67579,1912.62843,0.7136,79.3,56.59,56.19,10,time_exit,28.0,9.32281,new_york,2021,,
XAUUSD,2021-06-14 20:00:00,2021-06-16 12:00:00,1864.23,1857.8,1849.2137,1894.2626,0.6683,-64.3,-42.97,-43.37,10,time_exit,33.0,10.01087,new_york,2021,,
XAUUSD,2021-06-16 20:00:00,2021-06-17 00:00:00,1859.32,1846.87702,1846.87702,1884.20596,0.803,-124.4,-99.92,-100.32,1,stop_loss,44.0,8.29532,new_york,2021,,
XAUUSD,2021-06-17 04:00:00,2021-06-17 12:00:00,1817.75,1800.02835,1800.02835,1853.1933,0.5581,-177.2,-98.9,-99.3,2,stop_loss,48.5,11.81443,,2021,,
XAUUSD,2021-06-18 00:00:00,2021-06-21 16:00:00,1774.99,1783.16,1751.91086,1815.62829,0.4243,81.7,34.67,34.27,10,time_exit,56.7,14.15943,,2021,,
XAUUSD,2021-09-08 04:00:00,2021-09-08 16:00:00,1798.4,1787.85976,1787.85976,1819.48049,0.9323,-105.4,-98.27,-98.67,3,stop_loss,23.3,7.02683,,2021,,
XAUUSD,2021-09-09 12:00:00,2021-09-09 16:00:00,1794.75,1784.44863,1784.44863,1815.26274,0.9443,-103.0,-97.28,-97.68,1,stop_loss,32.1,6.84758,london,2021,,
XAUUSD,2021-09-09 20:00:00,2021-09-13 12:00:00,1793.79,1785.9,1782.24622,1816.66757,0.8342,-78.9,-65.82,-66.22,10,time_exit,31.2,7.64919,new_york,2021,,
XAUUSD,2021-09-13 20:00:00,2021-09-14 12:00:00,1793.82,1782.44565,1782.44565,1816.41869,0.8408,-113.7,-95.64,-96.04,4,stop_loss,23.8,7.54956,new_york,2021,,
XAUUSD,2021-11-01 00:00:00,2021-11-02 16:00:00,1782.92,1788.39,1769.62011,1809.63977,0.7119,54.7,38.94,38.54,10,time_exit,20.7,8.89326,,2021,,
XAUUSD,2021-11-03 12:00:00,2021-11-03 16:00:00,1781.7,1771.28193,1771.28193,1802.47613,0.9125,-104.2,-95.06,-95.46,1,stop_loss,20.4,6.93204,london,2021,,
XAUUSD,2021-11-04 00:00:00,2021-11-04 16:00:00,1770.56,1794.89653,1756.99674,1794.89653,0.6938,243.4,168.85,168.45,4,take_profit,27.3,8.42218,,2021,,
XAUUSD,2021-11-22 04:00:00,2021-11-22 16:00:00,1845.8,1833.01041,1833.01041,1871.34917,0.749,-127.9,-95.79,-96.19,3,stop_loss,21.5,8.51972,,2021,,
XAUUSD,2021-11-23 04:00:00,2021-11-23 08:00:00,1811.35,1796.99556,1796.99556,1840.02888,0.6606,-143.5,-94.83,-95.23,1,stop_loss,34.5,9.56296,,2021,,
XAUUSD,2021-11-24 00:00:00,2021-11-25 16:00:00,1789.27,1788.35,1773.70032,1819.59937,0.6029,-9.2,-5.55,-5.95,10,time_exit,45.5,10.19979,,2021,,
XAUUSD,2021-11-26 00:00:00,2021-11-26 12:00:00,1790.49,1810.62166,1777.60417,1810.62166,0.7281,201.3,146.58,146.18,3,take_profit,54.6,7.33722,,2021,,
XAUUSD,2021-11-26 12:00:00,2021-11-26 16:00:00,1809.78,1798.37261,1798.37261,1832.59478,0.8352,-114.1,-95.27,-95.67,1,stop_loss,48.1,7.60493,london,2021,,
XAUUSD,2021-11-29 00:00:00,2021-11-30 16:00:00,1789.27,1776.59244,1776.59244,1819.69513,0.744,-126.8,-94.32,-94.72,10,stop_loss,41.7,9.57838,,2021,,
XAUUSD,2021-12-30 12:00:00,2021-12-31 00:00:00,1800.19,1818.43518,1790.97741,1818.43518,1.0136,182.5,184.93,184.53,3,take_profit,20.5,6.10173,london,2021,,
XAUUSD,2022-01-04 00:00:00,2022-01-05 12:00:00,1802.37,1823.40086,1790.17457,1823.40086,0.7808,210.3,164.21,163.81,9,take_profit,20.7,7.38362,,2022,,
XAUUSD,2022-01-06 20:00:00,2022-01-10 12:00:00,1791.04,1793.01,1778.17406,1816.77189,0.7528,19.7,14.83,14.43,10,time_exit,20.2,8.5773,new_york,2022,,
XAUUSD,2022-01-10 12:00:00,2022-01-11 20:00:00,1796.83,1818.82862,1785.80069,1818.82862,0.8795,220.0,193.48,193.08,8,take_profit,29.2,7.33954,london,2022,,
