symbol,seed,expectancy,pf,n_signals,signed,real_expectancy,real_pf
XAUUSD,39,-5.259855371900827,0.88,666,True,4.249722222222221,1.09
XAUUSD,40,-0.6618789144050095,0.99,666,True,4.249722222222221,1.09
XAUUSD,41,2.3872520661157024,1.04,666,True,4.249722222222221,1.09
XAUUSD,42,-0.6781601731601731,0.99,666,True,4.249722222222221,1.09
XAUUSD,43,7.68497807017544,1.13,666,True,4.249722222222221,1.09
XAUUSD,44,-2.619979035639413,0.95,666,True,4.249722222222221,1.09
XAUUSD,45,6.966338329764457,1.12,666,True,4.249722222222221,1.09
XAUUSD,46,-3.196741803278689,0.93,666,True,4.249722222222221,1.09
XAUUSD,47,-2.2617991631799157,0.95,666,True,4.249722222222221,1.09
XAUUSD,48,1.7379668049792532,1.03,666,True,4.249722222222221,1.09
XAUUSD,49,-0.2554736842105271,0.99,666,True,4.249722222222221,1.09
GBPJPY,0,13.067216494845358,1.2,676,True,-5.285084033613447,0.9
GBPJPY,1,-0.8854122621564476,0.98,676,True,-5.285084033613447,0.9
GBPJPY,2,8.871075949367087,1.15,676,True,-5.285084033613447,0.9
GBPJPY,3,-3.2790562248995982,0.93,676,True,-5.285084033613447,0.9
GBPJPY,4,-0.8461382113821146,0.98,676,True,-5.285084033613447,0.9
GBPJPY,5,1.6591702127659564,1.03,676,True,-5.285084033613447,0.9
GBPJPY,6,1.0058571428571417,1.02,676,True,-5.285084033613447,0.9
GBPJPY,7,17.000590631364563,1.27,676,True,-5.285084033613447,0.9
GBPJPY,8,14.29064182194617,1.21,676,True,-5.285084033613447,0.9
GBPJPY,9,5.732537313432836,1.11,676,True,-5.285084033613447,0.9
GBPJPY,10,7.6233198380566805,1.13,676,True,-5.285084033613447,0.9
GBPJPY,11,1.455717171717172,1.02,676,True,-5.285084033613447,0.9
GBPJPY,12,5.782907216494844,1.1,676,True,-5.285084033613447,0.9
GBPJPY,13,11.421393442622954,1.19,676,True,-5.285084033613447,0.9
GBPJPY,14,2.785950413223142,1.06,676,True,-5.285084033613447,0.9
GBPJPY,15,3.68983606557377,1.06,676,True,-5.285084033613447,0.9
GBPJPY,16,8.842515592515591,1.16,676,True,-5.285084033613447,0.9
GBPJPY,17,0.29895918367347046,1.01,676,True,-5.285084033613447,0.9
GBPJPY,18,-2.6999794238683137,0.95,676,True,-5.285084033613447,0.9
GBPJPY,19,1.7911949685534583,1.03,676,True,-5.285084033613447,0.9
GBPJPY,20,15.993008474576271,1.24,676,True,-5.285084033613447,0.9
GBPJPY,21,0.5349079754601221,1.01,676,True,-5.285084033613447,0.9
GBPJPY,22,1.8560796645702313,1.03,676,True,-5.285084033613447,0.9
GBPJPY,23,-1.9741139240506327,0.96,676,True,-5.285084033613447,0.9
GBPJPY,24,5.145306122448981,1.08,676,True,-5.285084033613447,0.9
GBPJPY,25,2.5367857142857186,1.04,676,True,-5.285084033613447,0.9
GBPJPY,26,4.1458316221765905,1.08,676,True,-5.285084033613447,0.9
GBPJPY,27,5.7968442622950835,1.1,676,True,-5.285084033613447,0.9
GBPJPY,28,-1.9219287211740024,0.96,676,True,-5.285084033613447,0.9
GBPJPY,29,-2.36928131416838,0.95,676,True,-5.285084033613447,0.9
GBPJPY,30,2.6131327800829873,1.04,676,True,-5.285084033613447,0.9
GBPJPY,31,-4.338172484599588,0.92,676,True,-5.285084033613447,0.9
GBPJPY,32,7.363375262054507,1.15,676,True,-5.285084033613447,0.9
GBPJPY,33,3.4342332613390925,1.07,676,True,-5.285084033613447,0.9
GBPJPY,34,-3.6104999999999996,0.93,676,True,-5.285084033613447,0.9
GBPJPY,35,7.187510373443986,1.12,676,True,-5.285084033613447,0.9
GBPJPY,36,-3.412576687116564,0.93,676,True,-5.285084033613447,0.9
GBPJPY,37,13.793679833679834,1.21,676,True,-5.285084033613447,0.9
GBPJPY,38,14.420362903225802,1.22,676,True,-5.285084033613447,0.9
GBPJPY,39,1.8975406504065049,1.04,676,True,-5.285084033613447,0.9
GBPJPY,40,2.8405394190871354,1.06,676,True,-5.285084033613447,0.9
GBPJPY,41,12.947676348547716,1.21,676,True,-5.285084033613447,0.9
GBPJPY,42,1.4393686354378818,1.02,676,True,-5.285084033613447,0.9
GBPJPY,43,1.8174526315789454,1.04,676,True,-5.285084033613447,0.9
GBPJPY,44,2.7836864406779642,1.05,676,True,-5.285084033613447,0.9
GBPJPY,45,-0.8495416666666666,0.98,676,True,-5.285084033613447,0.9
GBPJPY,46,-3.441716566866267,0.93,676,True,-5.285084033613447,0.9
GBPJPY,47,6.667,1.12,676,True,-5.285084033613447,0.9
GBPJPY,48,3.5097131147540988,1.07,676,True,-5.285084033613447,0.9
GBPJPY,49,11.187020833333332,1.17,676,True,-5.285084033613447,0.9
USDJPY,50,5.929636363636365,1.11,611,True,-4.376604651162789,0.92
USDJPY,51,5.697817371937638,1.1,611,True,-4.376604651162789,0.92
USDJPY,52,1.9455656108597288,1.04,611,True,-4.376604651162789,0.92
USDJPY,53,2.563809523809523,1.04,611,True,-4.376604651162789,0.92
USDJPY,54,7.650611353711791,1.15,611,True,-4.376604651162789,0.92
USDJPY,55,1.5245898004434586,1.03,611,True,-4.376604651162789,0.92
USDJPY,56,-3.173333333333334,0.92,611,True,-4.376604651162789,0.92
USDJPY,57,0.037146118721460106,1.0,611,True,-4.376604651162789,0.92
USDJPY,58,2.8724036281179135,1.05,611,True,-4.376604651162789,0.92
USDJPY,59,0.2861999999999994,1.01,611,True,-4.376604651162789,0.92
USDJPY,60,-6.912214765100671,0.86,611,True,-4.376604651162789,0.92
USDJPY,61,7.487246696035244,1.13,611,True,-4.376604651162789,0.92
USDJPY,62,-1.233805309734514,0.98,611,True,-4.376604651162789,0.92
USDJPY,63,4.921674008810572,1.09,611,True,-4.376604651162789,0.92
USDJPY,64,1.3611111111111105,1.03,611,True,-4.376604651162789,0.92
USDJPY,65,14.940361173814896,1.23,611,True,-4.376604651162789,0.92
USDJPY,66,6.037210884353744,1.1,611,True,-4.376604651162789,0.92
USDJPY,67,1.2179287305122506,1.02,611,True,-4.376604651162789,0.92
USDJPY,68,14.556479820627803,1.26,611,True,-4.376604651162789,0.92
USDJPY,69,-6.087306843267108,0.86,611,True,-4.376604651162789,0.92
USDJPY,70,3.5226888888888888,1.07,611,True,-4.376604651162789,0.92
USDJPY,71,-3.079192139737991,0.94,611,True,-4.376604651162789,0.92
USDJPY,72,-5.499668874172184,0.88,611,True,-4.376604651162789,0.92
USDJPY,73,-5.86450331125828,0.87,611,True,-4.376604651162789,0.92
USDJPY,74,-3.784446902654867,0.93,611,True,-4.376604651162789,0.92
USDJPY,75,4.683015873015873,1.08,611,True,-4.376604651162789,0.92
USDJPY,76,5.24448577680525,1.09,611,True,-4.376604651162789,0.92
USDJPY,77,2.5644642857142848,1.05,611,True,-4.376604651162789,0.92
USDJPY,78,4.112610619469027,1.07,611,True,-4.376604651162789,0.92
USDJPY,79,-1.0101801801801804,0.98,611,True,-4.376604651162789,0.92
USDJPY,80,3.4262857142857155,1.07,611,True,-4.376604651162789,0.92
USDJPY,81,4.107647058823528,1.08,611,True,-4.376604651162789,0.92
USDJPY,82,-3.124606741573033,0.93,611,True,-4.376604651162789,0.92
USDJPY,83,-4.873925438596491,0.9,611,True,-4.376604651162789,0.92
USDJPY,84,-0.4047682119205296,0.99,611,True,-4.376604651162789,0.92
USDJPY,85,-4.438325791855204,0.91,611,True,-4.376604651162789,0.92
USDJPY,86,0.7118651685393262,1.01,611,True,-4.376604651162789,0.92
USDJPY,87,0.682104072398189,1.01,611,True,-4.376604651162789,0.92
USDJPY,88,18.143466666666665,1.3,611,True,-4.376604651162789,0.92
USDJPY,89,9.29530434782609,1.17,611,True,-4.376604651162789,0.92
USDJPY,90,-7.52304054054054,0.84,611,True,-4.376604651162789,0.92
USDJPY,91,7.03295154185022,1.12,611,True,-4.376604651162789,0.92
USDJPY,92,-1.1821846846846848,0.98,611,True,-4.376604651162789,0.92
USDJPY,93,-1.5264966740576502,0.96,611,True,-4.376604651162789,0.92
USDJPY,94,-1.3159550561797755,0.97,611,True,-4.376604651162789,0.92
USDJPY,95,3.6499549549549553,1.07,611,True,-4.376604651162789,0.92
USDJPY,96,-5.06447427293065,0.9,611,True,-4.376604651162789,0.92
USDJPY,97,1.8012249443207122,1.03,611,True,-4.376604651162789,0.92
USDJPY,98,7.518828828828827,1.14,611,True,-4.376604651162789,0.92
USDJPY,99,-2.227331887201735,0.95,611,True,-4.376604651162789,0.92
XAUUSD,50,3.829768421052632,1.07,666,True,4.249722222222221,1.09
XAUUSD,51,7.479427966101695,1.13,666,True,4.249722222222221,1.09
XAUUSD,52,8.438482328482326,1.15,666,True,4.249722222222221,1.09
XAUUSD,53,7.573643892339545,1.13,666,True,4.249722222222221,1.09
XAUUSD,54,0.11159420289854856,1.0,666,True,4.249722222222221,1.09
XAUUSD,55,3.0983507306889346,1.06,666,True,4.249722222222221,1.09
XAUUSD,56,1.9680785123966928,1.04,666,True,4.249722222222221,1.09
XAUUSD,57,-2.683248407643312,0.95,666,True,4.249722222222221,1.09
XAUUSD,58,4.4836820083682,1.09,666,True,4.249722222222221,1.09
XAUUSD,59,-1.1404621848739478,0.98,666,True,4.249722222222221,1.09
XAUUSD,60,-9.713375527426159,0.77,666,True,4.249722222222221,1.09
XAUUSD,61,0.9493987975951904,1.02,666,True,4.249722222222221,1.09
XAUUSD,62,3.0076578411405306,1.05,666,True,4.249722222222221,1.09
XAUUSD,63,6.350896130346233,1.1,666,True,4.249722222222221,1.09
XAUUSD,64,-3.5925949367088603,0.93,666,True,4.249722222222221,1.09
XAUUSD,65,0.6294351464435154,1.01,666,True,4.249722222222221,1.09
XAUUSD,66,0.5884342379958257,1.01,666,True,4.249722222222221,1.09
XAUUSD,67,-2.896206185567011,0.94,666,True,4.249722222222221,1.09
XAUUSD,68,-3.1003389830508485,0.94,666,True,4.249722222222221,1.09
XAUUSD,69,3.6736755646817247,1.06,666,True,4.249722222222221,1.09
XAUUSD,70,-2.7412448132780076,0.94,666,True,4.249722222222221,1.09
XAUUSD,71,1.5979281183932348,1.03,666,True,4.249722222222221,1.09
XAUUSD,72,1.8647780126849878,1.03,666,True,4.249722222222221,1.09
XAUUSD,73,-2.0746709129511682,0.96,666,True,4.249722222222221,1.09
XAUUSD,74,3.34321961620469,1.07,666,True,4.249722222222221,1.09
XAUUSD,75,2.388017817371936,1.05,666,True,4.249722222222221,1.09
