datetime,open,high,low,close,volume
2020-04-14 06:00:00,135.219,135.281,135.153,135.214,3047
2020-04-14 07:00:00,135.214,135.417,135.212,135.296,2935
2020-04-14 08:00:00,135.296,135.403,135.199,135.29,3605
2020-04-14 09:00:00,135.291,135.297,135.041,135.264,6351
2020-04-14 10:00:00,135.265,135.358,135.141,135.245,7607
2020-04-14 11:00:00,135.246,135.345,135.08,135.107,7050
2020-04-14 12:00:00,135.107,135.133,134.635,134.871,7319
2020-04-14 13:00:00,134.872,134.907,134.574,134.804,6260
2020-04-14 14:00:00,134.804,134.897,134.611,134.809,6356
2020-04-14 15:00:00,134.807,135.112,134.758,135.078,8425
2020-04-14 16:00:00,135.079,135.204,134.886,135.142,8655
2020-04-14 17:00:00,135.143,135.226,134.916,135.021,9897
2020-04-14 18:00:00,135.025,135.142,134.779,135.09,8325
2020-04-14 19:00:00,135.09,135.318,134.993,135.007,6703
2020-04-14 20:00:00,135.009,135.291,134.968,135.274,5593
2020-04-14 21:00:00,135.272,135.41,135.191,135.319,6123
2020-04-14 22:00:00,135.316,135.387,135.248,135.261,5050
2020-04-14 23:00:00,135.263,135.496,135.263,135.35,2703
2020-04-15 00:00:00,135.28,135.332,135.225,135.231,790
2020-04-15 01:00:00,135.232,135.321,135.232,135.296,1577
2020-04-15 02:00:00,135.305,135.322,135.193,135.222,1654
2020-04-15 03:00:00,135.222,135.28,134.978,135.224,5157
2020-04-15 04:00:00,135.224,135.277,134.983,135.118,4571
2020-04-15 05:00:00,135.118,135.128,134.99,135.043,3240
2020-04-15 06:00:00,135.043,135.125,134.985,135.036,2813
2020-04-15 07:00:00,135.037,135.053,134.963,134.982,2006
2020-04-15 08:00:00,134.982,135.023,134.761,134.772,3396
2020-04-15 09:00:00,134.771,134.935,134.587,134.596,6391
2020-04-15 10:00:00,134.595,134.676,134.186,134.434,9415
2020-04-15 11:00:00,134.436,134.527,134.196,134.476,8000
2020-04-15 12:00:00,134.476,134.581,134.202,134.441,7004
2020-04-15 13:00:00,134.441,134.479,133.998,134.265,8590
